Number of Entries,Time Taken to Sort,
20,16537
50,63985
100,260736
200,252231
500,2797262
1K,7970853
2K,11755711
5K,7211001
10K,11651789
20K,6981921544
50K,5595921722
100K,140943822490
200K,176465142719
500K,99117847978
